Datas;Usuários;Tweets
2020-03-20;sobreira__;1
2020-03-20;Biaaandrad__;1
2020-03-20;royaltyanaaa;1
2020-03-20;marimoncoress;1
2020-03-20;GouveiaGra;1
2020-03-20;DALTROINFO;1
2020-03-20;MiyriamMartins;1
2020-03-20;cberliquinhoooo;1
2020-03-20;fabiane_nahary;1
2020-03-20;Gio_5hx;1
2020-03-20;arrobatba;1
2020-03-20;_lulusd;1
2020-03-20;masqualana;1
2020-03-20;moretto_k;1
2020-03-20;Leeka_Seabra;1
2020-03-20;Camii_Dantaxx;1
2020-03-20;dayodonto29;1
2020-03-20;eduheck;1
2020-03-20;JosRomoCostaFi1;1
2020-03-20;sipmyblood;1
2020-03-20;ymaiscedo;1
2020-03-20;_negapom_;1
2020-03-20;nubiastana;1
2020-03-20;Vitorinhat6;1
2020-03-20;DomingosCorilo;1
2020-03-20;ruan_scherer;1
2020-03-20;o_Lacerda43;1
2020-03-20;pedroportela686;1
2020-03-20;AntonKarlBach;1
2020-03-20;_vero_nike_;1
2020-03-20;jvictortx_;1
2020-03-20;EternoFrajola;1
2020-03-20;FaelFud;2
2020-03-20;aacatao;1
2020-03-20;ClodomirFronza;1
2020-03-20;mateuspereira_0;1
2020-03-20;cadelinhadojk;1
2020-03-20;cristianethiel;1
2020-03-20;shixunies;1
2020-03-20;SigaJs;1
2020-03-20;DavidAl01383462;1
2020-03-20;_Thaty_10;1
2020-03-20;itshinner;1
2020-03-20;hogwshirIey;1
2020-03-20;valmcx;1
2020-03-20;Inexxxxistente;1
2020-03-20;jakimiu_;1
2020-03-20;StefaniMoreeira;1
2020-03-20;HenriqueRK1;1
2020-03-20;clarkkenwt;1
2020-03-20;Ronald_silva22;1
2020-03-20;Ritatrinds;1
2020-03-20;makelopes_;1
2020-03-20;MayconRodrigs;1
2020-03-20;Cielo_br;1
2020-03-20;pvchx;1
2020-03-20;sebastiaobarbar;1
2020-03-20;CelioFarias07;1
2020-03-20;lauracndi;1
2020-03-20;BallistaDaniela;1
2020-03-20;CRTnotBRT;1
2020-03-20;itssvitorrr;1
2020-03-20;lucaskiodi7;1
2020-03-20;stoudeboa;1
2020-03-20;JulioMotta1966;2
2020-03-20;Porradisneey;1
2020-03-20;__ines24;1
2020-03-20;_vitoriarohden;1
2020-03-20;xCarlosEduardo;1
2020-03-20;jvdrl;1
2020-03-20;AClawdya;1
2020-03-20;Aliee_nado;1
2020-03-20;troux_marcio;1
2020-03-20;YasminLouise20;1
2020-03-20;Jplouzada99;1
2020-03-20;luckycherrypies;1
2020-03-20;Annaribeirohs;1
2020-03-20;gilbertorateke;1
2020-03-20;inkronin;1
2020-03-20;nkdelxs;1
2020-03-20;100porcentoatv;1
2020-03-20;truewblue;1
2020-03-20;Ronald70803860;1
2020-03-20;Matheus_akio;1
2020-03-20;38Bolsonaro;1
2020-03-20;corujosilva;1
2020-03-20;FofaProcessa;1
2020-03-20;CliaSil45226872;1
2020-03-20;JorgeNovoGarcia;1
2020-03-20;hamouialberto;1
2020-03-20;LdeAmanda;1
2020-03-20;brainyslime;1
2020-03-20;WhoIsLyne;1
2020-03-20;Questionei_;2
2020-03-20;jhonanthanramos;1
2020-03-20;_LeoFerreiraH;1
2020-03-20;FKlynny;1
2020-03-20;alanacg__;1
2020-03-20;Hellacourtesy;1
2020-03-20;saiforameuu;1
2020-03-20;Mariaaleticcia;1
2020-03-20;_bandidomaI;1
2020-03-20;deckardjones;1
2020-03-20;soldadainvernal;1
2020-03-20;holoc3n3;1
2020-03-20;CgCorlaite;1
2020-03-20;ArthurlCarvalho;1
2020-03-20;AndrePessoa2012;1
2020-03-20;lauraaarruda_;1
2020-03-20;hsoleticia;1
2020-03-20;SirDiiss;1
2020-03-20;LsMalvadao;1
2020-03-20;rockerz;1
2020-03-20;andresouzajr4;1
2020-03-20;FranklinFaruk;1
2020-03-20;umalunatica;1
2020-03-20;LanasantssCrf;1
2020-03-20;AnyKarolineGue1;1
2020-03-20;gaby_carvalho03;1
2020-03-20;mottacl;1
2020-03-20;saturnwise;1
2020-03-20;mktrbaala;1
2020-03-20;jessy_fraz;1
2020-03-20;emilyduuarte;1
2020-03-20;GabiWerneque;1
2020-03-20;anamcampos10;1
2020-03-20;psiodynae;1
2020-03-20;beyoncedeolinda;1
2020-03-20;OdeteGuimares1;1
2020-03-20;Goulart_25;1
2020-03-20;ayyocele;1
2020-03-20;marina_vsouza;1
2020-03-20;ellen_sayuri;2
2020-03-20;UgoFroes;1
2020-03-20;carolinnarcc;1
2020-03-20;halfbloodIarry;1
2020-03-20;OPotiguar;1
2020-03-20;fatoamazonico;1
2020-03-20;NevesNetoH;1
2020-03-20;wpforms;1
2020-03-20;BrunnaIsabella7;1
2020-03-20;daianinha82;1
2020-03-20;Sumido_;1
2020-03-20;ederrrrrrrrrrr;1
2020-03-20;didias16;1
2020-03-20;Pabluneves;1
2020-03-20;Shik4m4rUu;1
2020-03-20;pedro_perpe;1
2020-03-20;4ngoti;1
2020-03-20;renanmelo1991;1
2020-03-20;Eoqtutu;1
2020-03-20;ZonaSul750;1
2020-03-20;sxqueira_;1
2020-03-20;AlexanderViana9;1
2020-03-20;vickydoretto;1
2020-03-20;thefreshtoast_;1
2020-03-20;onlyphael;1
2020-03-20;RazoesAcreditar;1
2020-03-20;carroraima;2
2020-03-20;claraportos;1
2020-03-20;rayuriev;1
2020-03-20;mailenlara_;1
2020-03-20;gstvbc2;1
2020-03-20;_CriaturaDoAlem;1
2020-03-20;douglitch;1
2020-03-20;i_pablin;1
2020-03-20;Bacelarvtr;1
2020-03-20;Andryolvp;1
2020-03-20;JosyBolsonaro;1
2020-03-20;reisinaldo;1
2020-03-20;jbperuzia;1
2020-03-20;linoteca;1
2020-03-20;qrzzcjs;1
2020-03-20;BWEXPO;1
2020-03-20;cidadao_urbano;1
2020-03-20;GontijoehcomG;1
2020-03-20;timbaoepuma;1
2020-03-20;BorralhoHaroldo;1
2020-03-20;GovSC;1
2020-03-20;Heloisa_Guenes;1
2020-03-20;PegaoControle_;1
2020-03-20;visctao;1
2020-03-20;Fe_scorpion;1
2020-03-20;caetanocontab;1
2020-03-20;TRUE97920078;1
2020-03-20;maycoss;2
2020-03-20;Robinho1914_;1
2020-03-20;_laisf;1
2020-03-20;taintelles1;1
2020-03-20;maari_leaaal;1
2020-03-20;JoaoBidu;1
