Bigramas;Ocorrências;Tweets_Presente
('vírus', 'sars-cov');2;2
('sars-cov', '2');13;13
('2', 'gera');2;2
('gera', 'quadro');2;2
('quadro', 'cov');2;2
('valdomiro', 'pede');109;109
('pede', 'ajuda');109;109
('ajuda', 'diz');109;109
('diz', 'corona');110;110
('corona', 'tá');124;124
('tá', 'acabando');124;124
('acabando', 'igrejas');109;109
('igrejas', 'ajuda');109;109
('ajuda', 'acima');109;109
('acima', 'cem');109;109
('cem', 'reais');109;109
('reais', 'deixe');109;109
('deixe', 'gargalhada');109;109
('gargalhada', 'aqui');107;107
('excelente', 'sugestão');364;364
('sugestão', 'desses');364;364
('desses', 'cientistas');364;364
('cientistas', 'contra');364;364
('contra', 'hidroxicloroquina');736;736
('hidroxicloroquina', 'assine');364;364
('assine', 'declaração');364;364
('declaração', 'hospital');364;364
('velha', 'mídia');133;133
('mídia', 'continua');133;133
('continua', 'tentando');133;133
('tentando', 'manipular');133;133
('manipular', 'google');133;133
('google', 'ajuda');133;133
('ajuda', 'ver');133;133
('ver', 'depende');133;133
('depende', 'época');133;133
('época', 'mudam');133;133
('mudam', 'opinião');133;133
('opinião', 'depende');133;133
('negacionista', 'rechaça');4;4
('rechaça', 'existência');4;4
('existência', 'coronavírus');4;4
('coronavírus', 'diz');21;21
('diz', 'basta');4;4
('basta', 'isolar');4;4
('isolar', 'idosos');5;5
('idosos', 'diz');4;4
('diz', 'tudo');5;5
('tudo', 'resolve');4;4
('quero', 'todo');4;4
('mundo', 'n');7;7
('n', 'ta');176;176
('ta', 'respeitando');13;13
('respeitando', 'quarentena');55;55
('quarentena', 'direito');5;5
('direito', 'va');3;3
('va', 'tomar');4;4
('tomar', 'cu');25;25
('cu', 'foda');3;3
('foda', 'gente');3;3
('gente', 'ta');15;15
('ta', 'pior');9;9
('pior', 'fase');3;3
('fase', 'cri');3;3
('governador', 'mg');82;82
('mg', 'reconvoca');61;61
('reconvoca', 'militares');61;61
('militares', 'reserva');61;61
('reserva', 'pensar');61;61
('pensar', 'psicólogo');61;61
('psicólogo', 'destes');61;61
('destes', 'resultado');61;61
('resultado', 'marido');61;61
('marido', 'suicidou');61;61
('rio', 'janeiro');91;91
('janeiro', 'votou');22;22
('votou', 'peso');22;22
('peso', 'bolsonaro');22;22
('bolsonaro', 'fica');25;25
('fica', 'claro');22;22
('claro', 'fala');22;22
('fala', 'sobre');22;22
('sobre', 'fim');22;22
('fim', 'isolamento');28;28
('isolamento', 'sim');22;22
('sim', 'influenciando');22;22
('objetivo', 'garantir');519;519
('garantir', 'ordem');517;517
('ordem', 'democrática');517;517
('democrática', 'uniformidade');517;517
('uniformidade', 'medidas');517;517
('medidas', 'prevenção');517;517
('prevenção', 'covid');538;538
('19', 'advogado-geral');517;517
('galera', 'pedia');68;68
('pedia', 'ditadura');68;68
('ditadura', 'ruas');68;68
('ruas', 'chamando');68;68
('chamando', 'doria');68;68
('doria', 'ditador');68;68
('19', 'pegar');11;11
('pegar', 'sabe');11;11
('sabe', 'né');12;12
('né', '🤗');11;11
('🤗', 'https://t.co/7C6671SUKt');11;11
('trump', 'germe');12;12
('germe', 'ficou');12;12
('ficou', 'tão');12;12
('tão', 'brilhante');12;12
('brilhante', 'antibiótico');12;12
('antibiótico', 'consegue');12;12
('consegue', 'acompanhá-lo');12;12
('acompanhá-lo', '...');12;12
('...', 'gênio');12;12
('gênio', 'nele');12;12
('nele', '...');13;13
('...', 'apenas');12;12
('assim', 'aniversário');61;61
('aniversário', 'alli');62;62
('alli', 'quarentena');61;61
('quarentena', 'https://t.co/AcnMYOrcGY');61;61
('quarentena', 'aí');14;14
('aí', 'ces');1;1
('ces', 'tão');1;1
('tão', 'fazer');1;1
('fazer', 'nada');8;8
('nada', 'play');1;1
('play', 'beat');1;1
('beat', 'aí');1;1
('aí', 'ta');1;1
('ta', 'foda');8;8
('foda', 'dms');1;1
('dms', 'mentir');1;1
('mentir', 'https://t.co/Ri77H56sV0');1;1
('amigos', 'preparem');8;8
('preparem', 'quarentena');8;8
('águas', 'claras');40;40
('claras', 'passou');33;33
('passou', 'lago');33;33
('lago', 'sul');36;36
('sul', 'agora');33;33
('agora', 'segunda');33;33
('segunda', 'região');33;33
('região', 'administrativa');33;33
('administrativa', 'df');33;33
('df', 'maior');33;33
('maior', 'número');58;58
('número', 'casos');152;152
('casos', 'coronavíru');33;33
('lembrar', 'cobram');62;62
('cobram', 'governo');62;62
('governo', 'brasileiro');86;86
('brasileiro', 'cumprir');62;62
('cumprir', 'determinações');62;62
('determinações', 'oms');62;62
('oms', 'coreia');62;62
('sul', 'japão');62;62
('japão', 'taiwan');62;62
('todos', 'dias');793;792
('dias', 'quarentena');670;670
('quarentena', 'https://t.co/AAdCnKDgsk');621;621
('carga', 'testes');259;259
('testes', 'coronavírus');594;594
('coronavírus', 'roubada');256;256
('roubada', 'aeroporto');319;319
('aeroporto', 'guarulhos');326;326
('guarulhos', 'muita');247;247
('muita', 'canalhice');247;247
('canalhice', 'https://t.co/kroRpPaKhd');247;247
('santa', 'ceia');518;518
('ceia', 'quarentena');518;518
('quarentena', 'https://t.co/OjkeBKnsdT');518;518
('amigos', 'governador');154;154
('governador', 'xingling');154;154
('xingling', 'sp');154;154
('sp', 'vão');154;154
('vão', 'ter');158;158
('ter', 'mto');154;154
('mto', 'q');154;154
('q', 'explicar');155;155
('explicar', '...');154;154
('fodasse', 'merda');10;10
('quarentena', 'acaba');182;182
('acaba', 'logo');75;75
('polícia', 'prende');147;147
('prende', 'chinês');8;8
('chinês', 'máscaras');3;3
('19', 'supostamente');3;3
('supostamente', 'produtos');3;3
('produtos', 'roubados');3;3
('roubados', 'aeroporto');72;72
('aeroporto', 'cum');3;3
('acontecesse', 'aqui');1;1
('aqui', 'motivo');1;1
('motivo', 'orgulho');1;1
('corona', 'vc');7;7
('vc', 'encheu');2;2
('encheu', 'paciência');3;3
('janeiro', 'ameaças');2;2
('ameaças', 'terceira');2;2
('fevereiro', 'queimadas');9;9
('queimadas', 'recordes');2;2
('recordes', 'mundo');2;2
('mundo', 'todo');20;20
('todo', 'março');2;2
('março', 'covid');2;2
('19', 'abril');2;2
('abril', 'vulcão');71;71
('digam', 'coisa');46;46
('coisa', 'imprensa');46;46
('imprensa', 'passa');46;46
('passa', 'dia');46;46
('dia', 'todo');69;69
('todo', 'dizendo');46;46
('dizendo', 'vai');46;46
('vai', 'morrer');54;53
('morrer', 'todo');46;46
('mundo', 'aglomeração');46;46
('aglomeração', 'vendo');46;46
('hoje', 'população');101;101
('população', 'nether');101;101
('nether', 'decidiu');101;101
('decidiu', 'fechar');101;101
('fechar', 'portal');101;101
('portal', 'prevenção');101;101
('prevenção', 'corona');101;101
('vírus', '...');106;106
('...', 'notícias');101;101
('ruins', 'https://t.co…');101;101
('doria', 'comunista');102;102
('comunista', 'gente');63;63
('gente', 'acabou');63;63
('acabou', 'brasil');63;63
('psicóloga', 'minimizar');121;121
('minimizar', 'menosprezar');121;121
('menosprezar', 'doenças');121;121
('doenças', 'mentais');121;121
('mentais', 'decorrentes');121;121
('decorrentes', 'desse');121;121
('desse', 'confinamento');121;121
('confinamento', 'pode');121;121
('pode', 'ser');208;208
('ser', 'caminho');121;121
('caminho', 'volta');121;121
('parabéns', 'paulistanos');9;9
('paulistanos', 'vcs');8;8
('vcs', 'representam');8;8
('representam', 'brasil');8;8
('brasil', 'nunca');8;8
('nunca', 'vote');8;8
('vote', '#impeachmentdedoria');8;8
('#impeachmentdedoria', 'https://t.co/uZLTx…');3;3
('#blindada', 'lana');1;1
('lana', 'del');1;1
('del', 'rey');1;1
('rey', 'vista');1;1
('vista', 'quebrando');1;1
('quebrando', 'quarentena');17;17
('quarentena', 'comprar');1;1
('comprar', 'coca');1;1
