Datas;Usuários;Tweets
2020-04-11;lilalopes63;1
2020-04-11;carvalholtc;1
2020-04-11;absoluthorror;1
2020-04-11;Andre32951736;1
2020-04-11;IderlanCavalca1;1
2020-04-11;alohafrens;1
2020-04-11;ArraisIrapua;1
2020-04-11;jonathanvaz;1
2020-04-11;b_rwxxx;1
2020-04-11;hellen_figd;1
2020-04-11;Mayyyy_G;1
2020-04-11;therealslimju;1
2020-04-11;grxysmine;1
2020-04-11;bialp_22_;1
2020-04-11;findslovely;1
2020-04-11;judssu;2
2020-04-11;itslaaura;1
2020-04-11;bitchbracho;1
2020-04-11;patygirllll;1
2020-04-11;EstimativasB;1
2020-04-11;hamenteslivres;1
2020-04-11;Hiramotomatheus;1
2020-04-11;eusouchataprak;1
2020-04-11;NunesTrevisi;1
2020-04-11;Bethomarques;1
2020-04-11;seestroy;1
2020-04-11;falandoverdes2;1
2020-04-11;whichwitchtrish;1
2020-04-11;letxx_;1
2020-04-11;sidartareis;1
2020-04-11;cxrolxz;1
2020-04-11;lauradcrg;1
2020-04-11;Beth_garcez;1
2020-04-11;j_riboldia;1
2020-04-11;romanogersl;1
2020-04-11;brunostobias;1
2020-04-11;Ramonlmo;1
2020-04-11;MarcioL03202887;1
2020-04-11;ytaloed;1
2020-04-11;WalterJunior_69;1
2020-04-11;DOpiechon;1
2020-04-11;MINGIGlRL;1
2020-04-11;thx1958;1
2020-04-11;Geraldo35987490;1
2020-04-11;MINNEAPOLIS0402;1
2020-04-11;Sergio_CPS;1
2020-04-11;CherryDantas;1
2020-04-11;brunapturban;1
2020-04-11;Dia_Planinauta;1
2020-04-11;Br4zuc4Br;1
2020-04-11;pescotapa_muito;1
2020-04-11;chamadenath;1
2020-04-11;depoisdastres_;1
2020-04-11;pauloeandre;1
2020-04-11;niziamstan;1
2020-04-11;guimaagii;1
2020-04-11;nesimachado;1
2020-04-11;isabellasilvei2;1
2020-04-11;Marcoteiro;1
2020-04-11;Manuell30765915;1
2020-04-11;Galfurion;1
2020-04-11;sabrinssillva;1
2020-04-11;danield03517031;1
2020-04-11;ElisaaReginaa;1
2020-04-11;CarlosJ87558455;1
2020-04-11;jaowolv;1
2020-04-11;MiriamMenezes01;1
2020-04-11;KirstKeler;1
2020-04-11;Bianca59301450;1
2020-04-11;samuel9466;1
2020-04-11;Frav3s_;1
