Datas;Usuários;Tweets
2020-04-11;w0nderlandsgirl;1
2020-04-11;carolinacosmo;1
2020-04-11;JessieBaima;1
2020-04-11;flaviorocha_ffr;1
2020-04-11;A_Ninfaa;1
2020-04-11;Aninhaodc13;1
2020-04-11;MariaVa14959703;1
2020-04-11;wallsfalling94;1
2020-04-11;nadiabambirra;1
2020-04-11;Jagnofound;1
2020-04-11;Seoade;1
2020-04-11;evacmacedo;1
2020-04-11;marinabragaa;1
2020-04-11;josea19_;1
2020-04-11;minizluv;1
2020-04-11;gracliper;1
2020-04-11;Camisa65;1
2020-04-11;DemoSaints;1
2020-04-11;Ellen76280995;1
2020-04-11;SidMorelli;2
2020-04-11;FsabaCarvalho;1
2020-04-11;feelng_off;1
2020-04-11;AlphaVigilante;1
2020-04-11;well_a_martins;1
2020-04-11;marlonboston;1
2020-04-11;cluelessgio;1
2020-04-11;glauzina;1
2020-04-11;GuilhermeSavioF;1
2020-04-11;2dprin;1
2020-04-11;ysxdrigo;1
2020-04-11;dudaaramos08;1
2020-04-11;HemiltonBright;1
2020-04-11;2680Xisto;1
2020-04-11;Ira18880393;1
2020-04-11;BetoMaia1971;2
2020-04-11;Mariana20606012;1
2020-04-11;DcsbeleDaniele;1
2020-04-11;rodrigokwt;1
2020-04-11;bernardinoe23;1
2020-04-11;somoscrivo;1
2020-04-11;WarlockNunes;1
2020-04-11;danielmosouza;1
2020-04-11;Diego_CORUS_;1
2020-04-11;notnxya;1
2020-04-11;Everton_Luis;1
2020-04-11;EndFFLCH;1
2020-04-11;newsalternativo;1
2020-04-11;MaizaNatal;1
2020-04-11;AlmirSincura;1
2020-04-11;dezabs__;1
2020-04-11;Leonard14394774;1
2020-04-11;amilcarodrigues;1
2020-04-11;felps1719;1
2020-04-11;HenryJosbelarm1;1
2020-04-11;kezcot;1
2020-04-11;Odairmorales9;1
2020-04-11;claudioperrout;1
2020-04-11;jortinimendes;1
2020-04-11;rafaelrc711;1
2020-04-11;rullyverg;1
2020-04-11;_soares_1906;1
2020-04-11;espejo_publico1;1
2020-04-11;davividal83;1
2020-04-11;vitsxn;1
2020-04-11;HazlittLuciano;1
2020-04-11;eduardaaxr;1
2020-04-11;diogori13433120;1
2020-04-11;andiamomeno;1
2020-04-11;Sidsto;1
2020-04-11;grandestruidora;1
2020-04-11;IrisFigueiredo8;1
2020-04-11;taianem10;1
2020-04-11;nnev3s;1
2020-04-11;bernard11084332;1
2020-04-11;cinthyanob;1
2020-04-11;edianeborgs;1
2020-04-11;CamilleXavier7;1
