;num_tweets
inventor;4
amores;19
Agora;574
lives;119
profissionais;214
salvando;55
@JornalBSM;28
Constituição;34
posta;116
dra;27
abusos;28
@andreasaraiva;2
nivel;3
tal;104
eles;220
acham;58
problema;96
globo;52
Pela;12
lógica;3
deixar;74
@alisson_lops;1
@CBNoficial;1
Primeiro;27
Nossa;16
espero;28
estar;500
vivo;82
@sarabadazz;1
climinha;1
manaus;2
gostoso;20
clima;7
ótimo;13
proliferação;1
@louistsearch;3
oioi;3
anjos;4
resolvemos;6
streaming;13
party;3
durante;364
distrair;33
negatividade;3
@radardamidia;366
Um;558
assessor;364
@realDonaldTrump;451
afirmou;367
montou;363
jihad;371
Hidroxicloroquina;506
Trump;619
Novo;84
1061;53
melhora;59
91%;46
@RizethJ;27
Gostaria;48
informar;41
curados;120
Alguém;136
teria;125
@yodakjkj;2
Governadores;15
fiquem;38
evitar;46
idosas;7
@_pedroduaarte;1
durar;24
bebendo;36
igual;142
@Clauwild1;125
alemão;18
Saxônia;15
fizer;18
internado;108
psiquiátricos;15
Foi;46
@Danielhrs;13
Únicos;13
líderes;17
minimizam;13
i);13
Turcomenistão;13
proibiu;33
palavra;18
'coronavírus';13
ii);13
@VittorGuidoni;55
isolasse;54
Queiroz;55
@leandroruschel;225
manda;129
brasileira;101
vivemos;80
sob;93
Partido;82
@governotubarao;1
Boletim;10
Informativo;1
Extraordinário;1
FMS;1
02;2
–;25
Tubarão;1
segundo;94
falecimento;7
@carteiroreaca;147
Deputado;150
@DouglasGarcia;247
protocolamos;54
Projeto;72
Decreto;55
Legislativo;54
travestida;54
@VitGomes8;31
casa”;19
@paulo_silva178;1
Melhor;26
@JairdoBrasil_;10
Ei;22
Dória;286
invés;21
rastrerar;10
coloca;36
bloqueadores;10
celular;61
@SoudeNiteroi1;49
imaginei;50
iria;65
dizer;313
saudade;119
terminal;51
@folha;323
visita;58
obra;46
novas;60
criticado;37
Mandetta;66
Caiado;66
@joaoanselmi;1
Cada;21
torno;15
amarga;1
aguentando;7
@DeputadoFederal;130
Brasileiros;17
correm;18
“grave;17
perigo”;18
documento;20
Human;42
Rights;56
Watch;56
organização;20
afirma;613
@NinaCarmona2;90
Fortaleza;123
morreram;211
16;104
1.708;86
assassinato;87
preocupada;97
colete;86
@prazapublica;1
enfermería;1
eventual;2
rompe;1
silencio;1
ante;8
continuos;1
Xunta;1
en;3
loita;1
@marmilbr;11
Escola;12
Aprendizes-Marinheiros;9
Espírito;13
Santo;18
tomado;15
preventivas;9
enfrentamento;24
#COVID19;477
@cidadaoprimata;76
MENOR;3
TAXA;16
TESTES;6
MUNDO;20
habitantes;48
afetados;7
Testamos;2
@prazertom;7
sensivel;7
ja;70
abraçar;21
@guimaraes13PT;24
Maioria;28
tuítes;27
feita;39
robôs;26
@AdrianodeAMB;2
outras;197
tenho;161
somos;41
fomos;6
@expresso;2
circo;1
sitiado;1
imprescindível;91
maconheiros;92
sejam;118
monitorados;91
24;235
horas;179
impedidos;91
fumar;139
serem;111
protegidos;92
@Metropoles;15
MPF;44
afrouxar;28
render;4
processo;28
Conforme;2
Público;20
