;Palavras
acabe logo;34
logo preciso;3
preciso vê;2
vê a;2
a gata;2
@oofaka Qdo;33
Qdo me;33
me perguntam;33
perguntam se;33
se os;35
os hospitais;80
hospitais estão;38
estão cheios;33
cheios eu;33
eu respondo;33
respondo que;33
que certamente;33
certamente não;33
não estão;79
estão E;33
E sabem;33
sabem como;33
como dá;33
dá pra;38
pra ter;38
ter certeza;33
certeza Simples.…;33
@VilenaRuth Apenas;117
Apenas o;126
o 4°;126
4° mês;127
de 2020;467
2020 e;128
e já;143
já tivemos;160
tivemos -;126
- Queimadas;157
Queimadas -;156
- Conflito;128
Conflito entre;129
entre EUA;156
EUA x;134
x IRÃ;131
IRÃ quase;129
quase causando;129
causando a;129
a terceira;129
mundial -;133
- Pa…;117
@josefucs Perguntar;7
Perguntar não;7
não ofende;7
ofende Quem;7
Quem é;17
que transforma;7
transforma mesmo;7
mesmo o;8
o combate;28
ao coronavírus;34
em ato;7
ato político;7
político Precisa;7
Precisa responder?…;7
@jw_alex Não;1
Não sei;44
sei se;26
se é;31
é do;80
do consulado;4
consulado mas;1
mas que;12
tem conexões;1
conexões no;1
no governo;5
governo chinês;5
chinês isso;1
isso tem;11
@oswaldojor A;333
A esquerda;340
esquerda é;333
a favor;415
favor da;357
da liberação;333
liberação da;337
da maconha;335
maconha cocaína;333
cocaína e;334
e aborto;333
aborto Mas;333
Mas a;339
a Cloroquina;652
Cloroquina tem;335
tem efeitos;333
efeitos colaterais;382
colaterais porque;333
porque Bolsonaro;333
Bolsonaro a…;333
@AiltonBenedito Cloroquina;87
Cloroquina passa;89
passa a;102
fazer parte;96
parte do;102
do tratamento;92
tratamento da;91
Covid-19 no;128
no Paraná;107
Paraná inclusive;87
inclusive nos;87
nos estágios;87
estágios iniciais;87
iniciais da;87
da infecção;87
infecção por;91
por #Co…;87
@ernestofaraujo O;2
O compromisso;1
compromisso de;3
de manter;17
manter os;2
os fluxos;1
fluxos comerciais;1
comerciais e;1
e as;64
as cadeias;1
cadeias de;1
de suprimento;1
suprimento vem;1
vem simultaneamente;1
simultaneamente com;1
o empenho;1
empenho em;1
em encontrar…;1
@JaqueStrass Já;3
Já estavam;3
estavam te;3
te mapeando;3
mapeando e;3
e você;20
você nem;3
nem desconfiava;3
desconfiava 😒;3
@HelioTelho Fux;1
Fux “Coronavírus;1
“Coronavírus não;26
não é;388
é habeas;16
habeas corpus”;16
corpus” https://t.co/mpFD6yq0h7;1
https://t.co/mpFD6yq0h7 (no;1
(no Brasil;1
Brasil o;115
o óbvio;3
óbvio precisa;3
precisa ser;5
ser dito;3
dito e;1
e repetido);1
@pileggi_k quarentena;1
logo eu;14
eu quero;397
quero por;1
por um;48
um piercing;6
@hflaviof só;1
só de;12
de pensar;4
pensar que;9
que eu;481
ia me;1
me dar;8
dar uma;35
uma tattoo;2
tattoo de;11
de aniversário;6
aniversário e;2
agora estamos;1
estamos de;13
quarentena eu;415
eu fico;67
fico tiste;1
@VEJA Moradores;2
Moradores hostilizam;2
hostilizam turistas;2
turistas que;2
que descumprem;3
descumprem quarentena;2
em praia;2
praia de;3
de SP;119
SP -&gt;2
-&gt https://t.co/fybpkOJhiO;2
https://t.co/fybpkOJhiO https://t.co/Thykpsnlft;2
@marcofeliciano Deu;46
Deu no;46
no @conexaopolitica;46
@conexaopolitica “Brasil;46
“Brasil registra;46
registra diminuição;46
diminuição no;46
no número;81
de Covid-19.”;46
Covid-19.” Obrigado;46
Obrigado SENHOR;46
SENHOR por;46
por ouvir;46
ouvir o;48
o cla…;46
@RhederSilva Ficar;5
Ficar em;190
em casa;1184
casa é;136
o MELHOR;133
MELHOR pra;133
pra você;173
você não;169
não morrer;137
morrer de;198
de -;134
- covid19;133
covid19 -;133
- acidente;133
acidente de;135
de carro;135
carro -;133
- aids;132
aids -;132
- assalto;133
assalto a;133
a ônibus;133
ônibus -;133
- atropelado;133
atropelado -;6
- pi…;5
@otempo Policiais;4
Policiais de;4
de Bogotá;4
Bogotá capital;4
capital da;4
da Colômbia;4
Colômbia dão;4
dão aulas;4
aulas de;4
de Zumba;4
Zumba nas;4
ruas da;4
da cidade;20
cidade para;4
para animar;11
animar cidadãos;4
cidadãos que;69
que estão;67
estão em;18
casa devido;4
devido à…;4
@ananiasfernanda Ora;62
Ora ora;72
ora ora;62
ora olhem;62
olhem isso;62
isso Manual;62
Manual de;62
de Manejo;62
Manejo clínico;62
clínico da;62
da Chikungunya;62
Chikungunya do;62
do Ministério;154
da Saúde;330
Saúde de;65
de 2017;65
2017 AUTORIZA;62
AUTORIZA O…;62
@deinhaASL Achavam;477
Achavam que;478
povo brasileiro;489
brasileiro estava;478
estava morto;478
morto em;479
em função;487
função da;479
quarentena Pois;508
Pois não;478
não estamos;485
estamos queremos;478
queremos trabalhar;477
trabalhar e;482
e derrubar;477
derrubar os;477
os trai…;477
@vuintrieri Quarentena;3
Quarentena dia;70
dia 3748392;3
@aloironei mereçooooo;1
@cadeapazleo é;2
é impossível;2
impossível ser;2
ser produtivo;3
produtivo na;4
quarentena meu;33
meu pai;83
@madusff Eu;2
Eu não;61
não gosto;4
gosto do;5
do Gusttavo;20
Gusttavo Lima;100
Lima não;53
não muito;113
muito menos;7
menos o;15
o tanto;15
tanto q;3
q ele;7
é tosco;2
tosco defendendo;2
defendendo o;2
o Bolsonaro;34
Bolsonaro mas;5
mas vai;7
vai se;49
se fuder;6
fuder pra;2
pra lá;31
lá eu;2
eu gosto…;2
@guedescaioxs kkkkkkkkkkkkkkkk;121
kkkkkkkkkkkkkkkk quarentena;121
quarentena ta;225
ta me;180
me deixando;170
deixando maluco;124
maluco 🤣;121
🤣 https://t.co/IznQcl2Zps;121
@vitorhtavares_ Cadê;1
Cadê os;3
os milionários;1
milionários da;1
da fronteira;5
fronteira pra;1
pra se;6
se vestir;1
vestir de;1
de morcego;1
morcego a;1
a noite;21
noite e;10
e sair;43
sair dando;1
dando porrada;1
porrada em;1
em filho;1
filho da;22
da puta;142
puta que;21
que fica;5
fica de;5
de rol…;1
@aninhawilkem culpa;1
culpa da;42
da quarentena🤢🥵;1
quarentena🤢🥵 https://t.co/PRiwsFIDPc;1
@fg15vitor Quarentena;492
Quarentena A;495
A Nos;494
Nos aproveitando;494
aproveitando que;494
que não;940
não tem;873
tem ninguém;496
ninguém na;500
na rua;644
rua 😅;494
😅 https://t.co/Dyu7ac1Ean;492
@cleytxn eu;122
eu 6h;122
6h da;122
da manhã;174
manhã nessa;122
quarentena https://t.co/aTRwu2Svq1;122
@seontasa Argentina;322
Argentina tem;702
tem 79;351
79 mortes;351
mortes por;489
por COVID19;374
COVID19 Brasil;351
Brasil 1.150;351
1.150 O;351
O quê;353
quê a;351
a Argentina;352
tem que;424
que nós;353
nós não;353
não temos;359
temos G-O-V-E-R-N-O;351
@_dannielzs eu;157
eu tô;206
tô só;167
só a;184
a lisa;162
lisa nessa;161
@VIOMUNDO Suécia;4
Suécia suspende;4
suspende uso;4
uso profilático;4
profilático de;4
cloroquina nos;9
nos hospitais;7
hospitais Efeitos;4
Efeitos colaterais;6
colaterais cãimbras;4
cãimbras perda;4
de visão;4
visão periférica;6
periférica problem…;4
@FabioTalhari Parece;74
Parece que;109
o cara;92
cara envolvido;74
envolvido aí;74
aí é;74
do Consulado;77
Consulado Chinês;74
Chinês https://t.co/7RdpRvaLCc;74
@Adrzadaaaa Evitem;1
Evitem aglomerações;1
aglomerações após;1
após acabar;1
acabou a;66
@ouiludido eu;63
eu em;65
em algum;65
algum lugar;66
lugar da;63
da minha;195
casa nessa;73
quarentena https://t.co/mw2G629qya;63
@ttobbu eu;124
não aceito;128
aceito menos;128
menos q;139
q isso;133
isso no;132
meu pós;124
pós quarentena;393
quarentena https://t.co/CUBurVh4Rl;124
@tipobin quarentena;43
dia 135645;43
135645 hora;43
hora da;56
da poesia;43
poesia https://t.co/yHyKvEOPvw;43
@Rabbitduda Estudos;1
Estudos dizem;1
dizem que;12
que quem;25
quem me;4
me ajudar;1
ajudar dando;1
dando rt;3
rt na;1
na publicação;1
publicação do;1
do apt;1
apt será;1
será imune;1
imune ao;11
ao covid;6
covid assim;1
assim como;10
como terá;1
terá seu;1
seu lugar;1
lugar garantido;1
garantido no…;1
@Sen_Alessandro O;87
O presidente;223
presidente @jairbolsonaro;207
@jairbolsonaro vem;87
vem dedicando;87
dedicando o;87
o máximo;92
máximo do;87
do seu;121
seu tempo;91
tempo e;95
e influência;87
influência para;87
para sabotar;87
sabotar as;87
as recomendações;100
recomendações de;87
de distancia…;87
@GgmAndrews Por;1
Por que;22
que será;10
será https://t.co/fypv1PZfHA;1
@miguel_cpv Para;2
Para de;2
de furar;5
furar a;21
quarentena egoísta;2
egoísta do;2
do caraioo;2
@hoje_no Os;1
Os EUA;9
EUA disseram;1
disseram novamente;1
novamente que;1
estão dispostos;1
dispostos a;5
a ajudar;2
ajudar o;5
o Irã;2
Irã c/o;1
c/o envio;1
envio de;4
de medicamentos;1
medicamentos e;1
e hospitais;23
hospitais de;5
de campanha;29
campanha mas;1
mas Teerã;1
Teerã recu…;1
@DaniloGentili O;14
O irmão;14
irmão da;14
minha amiga;32
amiga ;14
 pai;14
pai de;36
de uma;262
uma filha;14
filha pequena;14
pequena está;14
está precisando;16
precisando fazer;14
fazer exame;14
exame de;29
de covid;63
covid urgente;14
urgente não;14
não encontra;14
encontra lugar;14
lugar Post…;14
@brendasafra eu;14
eu sou;113
sou uma;43
uma menina;69
menina carinhosa;14
carinhosa afetuosa;14
afetuosa q;14
q ama;14
ama contato;14
contato fisico;14
fisico se;14
se eu;94
eu nao;36
nao morrer;14
de corona;213
corona eu;33
eu vou;204
vou morrer;27
de carencia;14
@otempo Polícia;8
Polícia de;65
SP prende;48
prende dez;8
dez por;8
por roubo;44
roubo de;84
máscaras em;11
Guarulhos https://t.co/0BkjRjb1AF;8
@let_oliveira15 quarentena;257
quarentena até;278
até junho;264
junho Eu;258
@l03n27 Off;6
Off pegariam;6
pegariam corona;6
corona pelo;6
pelo pinto;6
pinto https://t.co/2y8YsVc1Az;2
@ondevcfoi eu;67
eu e;263
e minha;132
minha ansiedade;124
ansiedade nessa;67
quarentena https://t.co/M9VSjhRSJi;67
@FlavioBolsonaro A;161
A quem;161
quem interessa;161
interessa o;161
o caos;175
@AiltonBenedito Cientistas;72
Cientistas reforçam;73
reforçam defesa;73
defesa da;77
da cloroquina;376
cloroquina para;75
para tratar;75
tratar pacientes;72
pacientes infectados;77
infectados com;94
o #CoronaVírus;72
#CoronaVírus https://t.co/2vxpMhYevL;72
@amandaviedo Não;1
Não é;48
é quarentena;25
quarentena se;112
se tu;3
tu tá;4
tá de;35
de Junçao;1
Junçao com;1
com os;268
os parça;6
parça todo;1
todo final;1
final de;30
de semana;40
semana tá;1
@EY_FAT Nem;174
Nem a;175
quarentena nos;181
nos proíbe;174
proíbe de;174
de girar;174
girar kkkkk;174
kkkkk https://t.co/SdDici0NKx;174
@republica_ctba Tratamento;43
Tratamento experimental;43
experimental de;43
de Israel;48
Israel tem;43
tem sucesso;43
sucesso de100%;43
de100% em;43
em teste;43
teste com;43
com pacientes;43
pacientes graves;43
graves de;56
de Coronavírus;52
Coronavírus https://t.co/nXRsFWKs…;43
@BrazilFight Míriam;20
Míriam Leitão;20
Leitão Quando;20
Quando o;99
Brasil atravessou;28
atravessou ontem;20
ontem a;21
a fronteira;20
fronteira dos;20
dos mil;39
mil mortos;64
mortos por;60
por Covid-19;127
Covid-19 Bolsonaro;28
Bolsonaro saiu;28
saiu para;20
para passear;20
passear novam…;20
@claudio_couto Perto;125
Perto dessa;125
dessa insanidade;125
insanidade mental;125
mental realmente;125
realmente a;126
a Covid-19;149
Covid-19 é;158
é fichinha;125
fichinha https://t.co/Mb4dTo974b;125
@aquele_seu_deus Afrouxamento;4
hospitais -;4
- Jornal;4
Jornal O;4
O Globo;8
Globo https://t.co/7F4gNUV…;1
@irmaosdotados Foda;29
Foda gostosa;29
gostosa é;29
é foda;94
foda sem;29
sem frescura;29
frescura 😈;29
😈 Já;29
Já assistiu;29
assistiu o;29
o novo;76
novo vídeo;31
vídeo dessa;30
dessa dupla;29
dupla ;29
 @Ricomarlonz;29
@Ricomarlonz e;29
e @kevinnurff;29
@kevinnurff aproveitando;29
aproveitando bem;29
bem a…;29
@imazusabela depois;1
depois de;208
de muito;5
muito tempo;15
tempo refletindo;1
refletindo fizemos;1
fizemos uma;2
uma lista;30
lista de;31
de roles;1
roles importantes;1
importantes pra;1
pra depois;18
quarentena alguns;1
alguns itens;1
itens -;1
- Albatr…;1
@MST_Oficial 🚩;3
🚩 QUARENTENA;6
QUARENTENA SEM;15
SEM TERRA;13
TERRA 👩‍🌾;6
👩‍🌾 ‼️;6
‼️ Na;6
Na manhã;6
manhã desse;3
desse sábado;4
sábado (11);32
(11) o;8
o MST;7
MST realizou;3
realizou a;12
segunda doação;6
doação de;10
de alimentos;27
alimentos saudáveis;3
saudáveis em;3
em bairr…;3
@BrendaRafaelaP1 ACAAABARAM;8
ACAAABARAM DE;8
DE ROUBAR;8
ROUBAR A;8
A MOTO;8
MOTO DO;8
DO PAI;9
PAI FA;8
FA MINHA;8
MINHA FILHA;9
FILHA A;8
A UNICA;10
UNICA QUE;8
QUE ESTAVA;11
ESTAVA SENDO;8
SENDO PRA;8
PRA TRAZER;8
TRAZER O;8
O PAO;8
PAO PRA;8
PRA ELA;8
ELA RODANDO;8
RODANDO NO;8
NO IFOOD;8
IFOOD N…;8
@betinacaetano o;8
o meu;148
meu deus;49
deus era;8
era só;20
só uma;46
uma aglomeração;92
aglomeração ao;19
ao som;15
som de;15
de saia;9
saia rodada;12
@olivslaris por;1
por favor;52
favor corona;4
corona vá;8
vá embora;11
embora e;13
e deixe;1
deixe meu;1
meu são;2
são joão;2
joão em;1
em paz;10
@Rayane05504300 quarentena;75
quarentena dessa;112
dessa quem;111
quem n;113
n tá;115
tá engordando;111
engordando tá;111
tá engravidando;111
engravidando e;111
e vms;111
vms de;111
de engordar;111
engordar pq;111
pq engravidar;111
engravidar q;111
q n;128
n posso;117
posso 🙅🏽‍♀️🤣;111
@bicmuller Meninas;18
Meninas a;18
quarentena já;129
já mostrou;18
mostrou pra;18
pra vocês;37
vocês também;20
também quantos;18
quantos procedimentos;18
procedimentos estéticos;18
estéticos a;18
gente fazia;20
fazia apenas;18
apenas para;19
para sermos;18
sermos vistas;18
vistas pe…;18
@trouxaluiz parece;18
parece q;25
q a;77
a cada;45
cada dia;40
dia q;20
q se;34
se passa;22
passa nessa;18
fico mais;21
mais feio;20
feio https://t.co/IOsQk3tAYa;18
@valoreconomico Governo;4
Governo trabalha;4
trabalha para;4
para fazer;41
fazer 50;15
50 mil;23
testes por;16
por dia;128
dia para;8
para coronavírus;347
coronavírus hoje;4
hoje são;20
são 4;4
4 mil;9
mil https://t.co/IetQm32OUf;4
@marcelo_semer Até;34
Até os;34
os italianos;40
italianos com;34
a maior;54
maior taxa;34
taxa de;65
de letalidade;38
letalidade do;71
do mundo;244
mundo estão;41
estão com;38
com medo;49
medo do;45
do Coronavirus;87
Coronavirus no;73
Brasil https://t.co/AiS3A…;34
@juziuzi eu;18
eu na;489
quarentena https://t.co/oIuoBzNEUm;18
@sergiorauber os;8
os EUA;19
EUA e;50
o UK;8
UK já;8
já chamaram;8
chamaram seus;8
seus cidadãos;108
cidadãos residentes;8
residentes no;8
Brasil de;12
de volta;47
volta pro;9
pro seus;8
seus territórios;8
territórios agora;8
agora foi;8
foi a;164
a vez;9
vez dos;9
dos italianos…;8
@SophieeMarques Fui;86
Fui a;86
a única;119
única que;90
que pessoa;86
pessoa que;138
que ainda;132
ainda não;246
não cortou;86
cortou o;86
o cabelo;170
cabelo na;87
quarentena 🥱;89
@_makavelijones Democracia;7
Democracia Antes;7
Antes do;13
do covid-19;51
covid-19 os;7
EUA estava;7
estava determinado;7
determinado a;7
a operar;7
operar um;7
um golpe;9
golpe de;8
de estado;21
estado na;7
na Venezuela;7
Venezuela EUA;7
EUA já;7
já tem;14
tem mais;51
mais de…;7
@GIGIbebi Fico;3
Fico aliviada;3
aliviada de;3
de feliz;3
feliz por;4
por São;11
Paulo ao;3
ao mesmo;17
mesmo tempo;13
tempo triste;3
triste e;10
e angustiada;3
angustiada pelos;3
pelos outros;3
outros estados;3
estados O;3
O povo;28
povo aceita;3
aceita passivamente;3
passivamente os…;3
@nirvana_boddah Saber;1
Saber q;1
q o;167
o Dave;1
Dave Grohl;1
Grohl ta;1
ta com;7
com uns;14
uns 52;1
52 anos;1
anos e;53
o Krist;1
Krist 54;1
54 e;1
vírus tá;2
tá por;1
por aí;29
aí me;1
me deixa;8
deixa assustado;1
@johnczn A;6
A maior;8
maior potência;6
potência do;6
mundo está;11
está batendo;6
batendo o;6
o recorde;17
recorde de;25
de mortes;108
mortes em;59
função do;8
do Corona;26
Corona e;12
e aqui,no;6
aqui,no Brasil,Rio;6
Brasil,Rio de;6
de Janeiro,vagabundo;6
Janeiro,vagabundo fazen…;6
@charlesnisz O;43
O melhor;49
melhor vídeo;45
vídeo sobre;44
sobre a;189
a necessidade;45
necessidade de;54
social https://t.co/PeeDnTzw1m;43
@ALBAMEDEIROS1 Morreram;103
Morreram na;103
na Bahia;117
Bahia 11;103
11 pessoas;103
e 42;103
42 assassinadas;103
assassinadas nesse;103
nesse mês;103
de abril;771
abril Devo;103
ou colete?😳😳;103
@ivonepita Revista;6
Revista dos;6
EUA compara;6
compara Bolsonaro;6
Bolsonaro a;8
a Jim;6
Jim Jones;6
Jones autor;6
autor do;6
do massacre;6
massacre de;6
de Jonestown;6
Jonestown Em;6
Em 1978;6
1978 o;6
o pastor;6
pastor promoveu;6
promoveu um;6
um suicídio;6
suicídio em;6
em mas…;6
@carloshotta Pq;5
Pq a;6
a galera;50
que acha;35
acha que;50
o coronavirus;87
coronavirus é;45
é coisa;12
coisa da;21
China para;7
para ganhar;5
ganhar dinheiro;11
dinheiro não;6
não acha;6
a cloroquina;658
cloroquina é;583
da Índia;23
Índia pa…;5
@albuquerque_af Pessoas;22
Pessoas com;22
com câncer;22
câncer precisando;22
precisando de;31
de cirurgias;22
cirurgias e;22
hospitais ”fechados”;22
”fechados” e;22
e VAZIOS;22
VAZIOS atendendo;22
atendendo somente;22
somente infectados;22
com covid-19.…;22
@BolsonaroSP Com;194
Com a;203
hidroxicloroquina se;194
se tornando;190
tornando cada;190
cada vez;213
vez mais;209
mais eficaz;194
eficaz contra;190
contra o;1244
coronavírus agora;190
agora não;190
tem jeito;192
